,ILI_Cases,Avg_Temp
2018-11-11,30,45.5
2018-11-18,29,49.42857142857143
2018-11-25,30,45.42857142857143
2018-12-02,40,47.357142857142854
2018-12-09,33,40.857142857142854
2018-12-16,41,47.357142857142854
2018-12-23,39,46.214285714285715
2018-12-30,45,43.5
2019-01-06,57,43.357142857142854
2019-01-13,82,47.142857142857146
2019-01-20,94,45.42857142857143
2019-01-27,102,43.642857142857146
2019-02-03,132,43.5
2019-02-10,103,29.5
2019-02-17,165,37.42857142857143
2019-02-24,130,39.714285714285715
2019-03-03,138,39.57142857142857
2019-03-10,199,38.714285714285715
2019-03-17,232,47.07142857142857
2019-03-24,221,58.214285714285715
2019-03-31,138,52.642857142857146
2019-04-07,80,53.857142857142854
2019-04-14,49,50.5
2019-04-21,42,52.92857142857143
2019-04-28,24,52.0
2019-05-05,29,55.142857142857146
2019-05-12,25,65.07142857142857
2019-05-19,18,59.214285714285715
2019-05-26,22,58.857142857142854
2019-06-02,23,63.357142857142854
2019-06-09,23,60.07142857142857
2019-06-16,13,68.64285714285714
2019-06-23,10,61.642857142857146
2019-06-30,7,64.07142857142857
2019-07-07,19,64.14285714285714
2019-07-14,13,68.07142857142857
2019-07-21,10,67.35714285714286
2019-07-28,13,69.85714285714286
2019-08-04,7,70.78571428571429
2019-08-11,9,68.64285714285714
2019-08-18,3,69.07142857142857
2019-08-25,17,66.21428571428571
2019-09-01,4,70.92857142857143
2019-09-08,8,67.85714285714286
2019-09-15,13,64.0
2019-09-22,0,61.285714285714285
2019-09-29,21,58.357142857142854
